ebnb,ebtp,stage,side,count,filesize,bcount
1,dpp-,early,d,1622,37.373,1
2,dpp-,early,v,1921,44.577,1
3,dpp-,early,d,1548,35.82,1
4,dpp-,early,v,1707,39.708,1
5,dpp-,early,d,1612,36.9,1
6,dpp-,early,v,1670,38.568,1
7,dpp-,early,d,1565,36.043,1
8,dpp-,early,v,1781,41.231,1
9,dpp-,early,d,1651,37.623,1
10,dpp-,early,v,2052,47.716,1
11,dpp-,early,d,1616,36.767,1
12,dpp-,early,v,1450,33.9,1
13,dpp-,early,d,1784,40.953,1
14,dpp-,early,v,2139,49.285,1
15,dpp-,early,d,1619,36.834,1
16,dpp-,early,v,1113,25.433,0
17,dpp-,early,d,1690,38.473,1
18,dpp-,early,v,1101,25.181,0
19,dpp-,early,d,1602,36.554,1
20,dpp-,early,v,1098,25.144,0
21,dpp-,early,d,1486,33.965,1
22,dpp-,early,v,1162,26.695,0
23,dpp-,early,d,1569,35.719,1
24,dpp-,early,v,1081,24.746,0
25,dpp-,late,d,1740,39.89,1
26,dpp-,late,v,1996,46.308,1
27,dpp-,late,d,1474,33.954,1
28,dpp-,late,v,1733,40.288,1
29,dpp-,late,d,1509,34.694,1
30,dpp-,late,v,1912,44.277,1
31,dpp-,late,d,1043,24.091,0
32,dpp-,late,v,1172,27.015,0
33,dpp-,late,d,1586,36.805,1
34,dpp-,late,v,1917,44.571,1
35,dpp-,late,d,1733,39.837,1
36,dpp-,late,v,1888,43.727,1
37,dpp-,late,d,1605,36.934,1
38,dpp-,late,v,1671,38.907,1
39,dpp-,late,d,1370,31.412,1
40,dpp-,late,v,1666,38.575,1
41,dpp-,late,d,1377,31.757,1
42,dpp-,late,v,1645,38.309,1
43,dpp-,late,d,1318,30.34,1
44,dpp-,late,v,2135,30.883,1
45,dpp-,late,d,1398,32.283,1
46,dpp-,late,v,1640,38.32,1
47,dpp-,late,d,1416,32.559,1
48,dpp-,late,v,1911,44.442,1
49,dpp-,late,d,1542,35.456,1
50,dpp-,late,v,1907,44.243,1
51,dpp-,late,d,1558,35.843,1
52,dpp-,late,v,1807,42.059,1
53,gd7dpp-,early,d,1488,33.971,1
54,gd7dpp-,early,v,1614,36.79,1
55,gd7dpp-,early,d,1677,38.19,1
56,gd7dpp-,early,v,1438,32.857,1
57,gd7dpp-,late,d,1546,35.437,1
58,gd7dpp-,late,v,1833,42.346,1
59,gd7dpp-,late,d,1724,39.433,1
60,gd7dpp-,late,v,1134,26.218,0
61,gd7dpp-,late,d,1644,37.707,1
62,gd7dpp-,late,v,1512,34.792,1
63,gd7dpp-,late,d,1724,39.469,1
64,gd7dpp-,late,v,1245,28.803,1
65,yw,early,d,2030,46.616,1
66,yw,early,v,1107,25.786,0
67,yw,early,d,1914,43.777,1
68,yw,early,v,2064,47.713,1
69,yw,early,d,1763,40.459,1
70,yw,early,v,1858,42.91,1
71,yw,early,d,1648,37.982,1
72,yw,early,v,2056,47.585,1
73,yw,early,d,1867,43.032,1
74,yw,early,v,1134,26.247,0
75,yw,early,d,1628,37.56,1
76,yw,early,v,1113,25.707,0
77,yw,early,d,1804,41.196,1
78,yw,early,v,1005,23.221,0
79,yw,early,d,1792,40.878,1
80,yw,early,v,1304,29.928,1
81,yw,early,d,1743,39.763,1
82,yw,early,v,1374,31.484,1
83,yw,early,d,1716,39.24,1
84,yw,early,v,1334,30.53,1
85,yw,early,d,1747,40.142,1
86,yw,early,v,2214,51.451,1
87,yw,early,d,1936,44.472,1
88,yw,early,v,2005,46.291,1
89,yw,late,d,1488,33.917,1
90,yw,late,v,940,21.579,0
91,yw,late,d,1714,39.315,1
92,yw,late,v,1153,26.507,0
93,yw,late,d,1786,40.806,1
94,yw,late,v,1153,26.446,0
95,yw,late,d,1983,45.419,1
96,yw,late,d,1096,25.108,0
97,yw,late,d,1788,41.269,1
98,yw,late,v,911,21.151,0
99,yw,late,d,1014,23.477,0
100,yw,late,v,1688,38.807,1
101,yw,late,d,1778,40.66,1
102,yw,late,v,905,20.891,0
103,yw,late,d,1895,43.624,1
104,yw,late,v,1581,36.449,1
105,yw,late,d,1780,40.656,1
106,yw,late,v,1103,25.336,0
107,yw,late,d,1812,41.384,1
108,yw,late,v,1161,26.561,0
109,yw,late,d,1873,42.699,1
110,yw,late,v,1227,28.242,1
111,yw,late,d,1842,42.016,1
112,yw,late,v,1143,26.221,0
113,yw,late,d,1488,33.917,1
114,yw,late,v,940,21.579,0
